name,uid,code,shortName,description,formName,domainType,type,numberType,textType,aggregationType,categoryComboUid,url,zeroIsSignificant
MOH 731 Screen for TB _1-9 ,,HV03-056,MOH 731 Screen for TB _1-9 ,Screen for TB _1-9 ,Screen for TB _1-9 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Screen for TB _10-14 ,,HV03-057,MOH 731 Screen for TB _10-14 ,Screen for TB _10-14 ,Screen for TB _10-14 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Screen for TB _15-19 ,,HV03-058,MOH 731 Screen for TB _15-19 ,Screen for TB _15-19 ,Screen for TB _15-19 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Screen for TB _20-24 ,,HV03-059,MOH 731 Screen for TB _20-24 ,Screen for TB _20-24 ,Screen for TB _20-24 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Screen for TB _25+ ,,HV03-060,MOH 731 Screen for TB _25+ ,Screen for TB _25+ ,Screen for TB _25+ ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start IPT_<1 ,,HV03-062,MOH 731 Start IPT_<1 ,Start IPT_<1 ,Start IPT_<1 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start IPT _1-9 ,,HV03-063,MOH 731 Start IPT _1-9 ,Start IPT _1-9 ,Start IPT _1-9 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start IPT _10-14 ,,HV03-064,MOH 731 Start IPT _10-14 ,Start IPT _10-14 ,Start IPT _10-14 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start IPT _15-19 ,,HV03-065,MOH 731 Start IPT _15-19 ,Start IPT _15-19 ,Start IPT _15-19 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start IPT _20-24 ,,HV03-066,MOH 731 Start IPT _20-24 ,Start IPT _20-24 ,Start IPT _20-24 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Start IPT _25+ ,,HV03-067,MOH 731 Start IPT _25+ ,Start IPT _25+ ,Start IPT _25+ ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On CTX/DDS_<1,,HV03-069,MOH 731 On CTX/DDS_<1,On CTX/DDS_<1,On CTX/DDS_<1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On CTX/DDS_1-9,,HV03-070,MOH 731 On CTX/DDS_1-9,On CTX/DDS_1-9,On CTX/DDS_1-9,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On CTX/DDS_10-14,,HV03-071,MOH 731 On CTX/DDS_10-14,On CTX/DDS_10-14,On CTX/DDS_10-14,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On CTX/DDS_15-19,,HV03-072,MOH 731 On CTX/DDS_15-19,On CTX/DDS_15-19,On CTX/DDS_15-19,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On CTX/DDS_20-24 ,,HV03-073,MOH 731 On CTX/DDS_20-24 ,On CTX/DDS_20-24 ,On CTX/DDS_20-24 ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On CTX/DDS_25+,,HV03-074,MOH 731 On CTX/DDS_25+,On CTX/DDS_25+,On CTX/DDS_25+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 TB cases _New,,HV03-076,MOH 731 TB cases _New,TB cases _New,TB cases _New,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 TB Cases _KP,,HV03-077,MOH 731 TB Cases _KP,TB Cases _KP,TB Cases _KP,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 TB Cases Tested_HIV,,HV03-078,MOH 731 TB Cases Tested_HIV,TB Cases Tested_HIV,TB Cases Tested_HIV,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 TB_Known status,,HV03-079,MOH 731 TB_Known status,TB_Known status,TB_Known status,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 TB_New HIV Positive,,HV03-080,MOH 731 TB_New HIV Positive,TB_New HIV Positive,TB_New HIV Positive,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 TB_already on HAART,,HV03-081,MOH 731 TB_already on HAART,TB_already on HAART,TB_already on HAART,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 TB_start_HAART,,HV03-082,MOH 731 TB_start_HAART,TB_start_HAART,TB_start_HAART,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Community ART current(M) ,,HV03-084,MOH 731 Community ART current(M) ,Community ART current(M) ,Community ART current(M) ,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Community ART current(F),,HV03-085,MOH 731 Community ART current(F),Community ART current(F),Community ART current(F),AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Screen CaCx_New F18+,,HV03-086,MOH 731 Screen CaCx_New F18+,Screen CaCx_New F18+,Screen CaCx_New F18+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 On modern FP _F18+,,HV03-087,MOH 731 On modern FP _F18+,On modern FP _F18+,On modern FP _F18+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Clinical visits_F18+,,HV03-088,MOH 731 Clinical visits_F18+,Clinical visits_F18+,Clinical visits_F18+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Nutrition Assess_<15,,HV03-089,MOH 731 Nutrition Assess_<15,Nutrition Assess_<15,Nutrition Assess_<15,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Nutrition Assess _15+,,HV03-090,MOH 731 Nutrition Assess _15+,Nutrition Assess _15+,Nutrition Assess _15+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Malnourished_<15,,HV03-092,MOH 731 Malnourished_<15,Malnourished_<15,Malnourished_<15,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Malnourished_15+,,HV03-093,MOH 731 Malnourished_15+,Malnourished_15+,Malnourished_15+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 FBP Provided_<15,,HV03-095,MOH 731 FBP Provided_<15,FBP Provided_<15,FBP Provided_<15,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 FBP Provided_15+,,HV03-096,MOH 731 FBP Provided_15+,FBP Provided_15+,FBP Provided_15+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_<1,,HV04-01,MOH 731 Circumcised_<1,Circumcised_<1,Circumcised_<1,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_1-9yr,,HV04-02,MOH 731 Circumcised_1-9yr,Circumcised_1-9yr,Circumcised_1-9yr,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_10-14,,HV04-03,MOH 731 Circumcised_10-14,Circumcised_10-14,Circumcised_10-14,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_15-19,,HV04-04,MOH 731 Circumcised_15-19,Circumcised_15-19,Circumcised_15-19,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_20-24,,HV04-05,MOH 731 Circumcised_20-24,Circumcised_20-24,Circumcised_20-24,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_25-49,,HV04-06,MOH 731 Circumcised_25-49,Circumcised_25-49,Circumcised_25-49,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_50+,,HV04-07,MOH 731 Circumcised_50+,Circumcised_50+,Circumcised_50+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_ HIV+,,HV04-09,MOH 731 Circumcised_ HIV+,Circumcised_ HIV+,Circumcised_ HIV+,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_ HIV-,,HV04-10,MOH 731 Circumcised_ HIV-,Circumcised_ HIV-,Circumcised_ HIV-,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Circumcised_HIV NK,,HV04-11,MOH 731 Circumcised_HIV NK,Circumcised_HIV NK,Circumcised_HIV NK,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Surgical,,HV04-12,MOH 731 Surgical,Surgical,Surgical,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Devices,,HV04-13,MOH 731 Devices,Devices,Devices,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 AE_During_Moderate,,HV04-14,MOH 731 AE_During_Moderate,AE_During_Moderate,AE_During_Moderate,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 AE_During_Severe,,HV04-15,MOH 731 AE_During_Severe,AE_During_Severe,AE_During_Severe,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 AE_Post_Moderate,,HV04-16,MOH 731 AE_Post_Moderate,AE_Post_Moderate,AE_Post_Moderate,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 AE_Post_Severe,,HV04-17,MOH 731 AE_Post_Severe,AE_Post_Severe,AE_Post_Severe,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Follow up visit <14d,,HV04-18,MOH 731 Follow up visit <14d,Follow up visit <14d,Follow up visit <14d,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Exposed_Occupational,,HV05-01,MOH 731 Exposed_Occupational,Exposed_Occupational,Exposed_Occupational,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 Exposed_Other,,HV05-02,MOH 731 Exposed_Other,Exposed_Other,Exposed_Other,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 PEP_Occupational,,HV05-05,MOH 731 PEP_Occupational,PEP_Occupational,PEP_Occupational,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 PEP_Other,,HV05-06,MOH 731 PEP_Other,PEP_Other,PEP_Other,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 KeyPop_Minimum package,,HV06-01,MOH 731 KeyPop_Minimum package,KeyPop_Minimum package,KeyPop_Minimum package,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 KeyPop offered Outreach,,HV06-02,MOH 731 KeyPop offered Outreach,KeyPop offered Outreach,KeyPop offered Outreach,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 KeyPop screened for STI,,HV06-03,MOH 731 KeyPop screened for STI,KeyPop screened for STI,KeyPop screened for STI,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 KeyPop with STIs,,HV06-04,MOH 731 KeyPop with STIs,KeyPop with STIs,KeyPop with STIs,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 KeyPop on MAT,,HV06-01,MOH 731 KeyPop on MAT,KeyPop on MAT,KeyPop on MAT,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE
MOH 731 KeyPop who are PWID,,HV06-02,MOH 731 KeyPop who are PWID,KeyPop who are PWID,KeyPop who are PWID,AGGREGATE,int,zeroPositiveInt,,sum,14,,FALSE

